Question Number,Year,Question,Option 1,Option 2,Option 3,Option 4,Correct Option,Detailed Explanation,Difficulty,Sub Subject,Topic
95,2020,"In India, Legal Services Authorities provide free legal services to which of the following type of citizens?

1. Person with an annual income of less than Rs. 1,00,000

2. Transgender with an annual income of less than Rs. 2,00,000

3. Member of Other Backward Classes (OBC) with an annual income of less than Rs. 3,00,000

4. All Senior Citizens

Select the correct answer using the code given below:",a) 1 and 2 only,b) 3 and 4 only,c) 2 and 3 only,d) 1 and 4 only,a,"Option 1 and 2 are correct, while Points 3 and 4 are not correct.

Under Section 12 of the Legal Services Authorities Act, 1987, free legal services are available to certain specified categories of persons, irrespective of their ability to afford legal representation. These include:

Members of Scheduled Castes (SCs) and Scheduled Tribes (STs)
Victims of trafficking in human beings or begar
Women and children
Persons with mental illness or disabilities
Victims of mass disasters, caste atrocities, ethnic violence, floods, droughts, earthquakes, or industrial disasters
Industrial workmen
Persons in custody
Persons whose annual income is below the prescribed limit

Therefore, Option 1 is correct.

Option 2 is correct: Under the legal aid framework, Transgender persons are entitled to free legal services. The prescribed income ceiling for availing such services is ₹2 lakh per annum, making them eligible under the scheme.

Option 3 is not correct: Other Backward Classes (OBCs) are not included as a separate category entitled to free legal services under Section 12 of the Act. An OBC individual may qualify only if they fall under some other eligible category or satisfy the prescribed income criteria.

Option 4 is not correct: Senior citizens are not automatically entitled to free legal aid under the Act. Their eligibility depends on the rules framed by the respective State Legal Services Authorities, often subject to an income limit. Hence, all senior citizens are not covered as a distinct statutory category.

Therefore, only Option 1 and 2 are correct.",Hard,Polity,Statutory bodies
96,2020,"Consider the following statements:

1. Aadhaar metadata cannot be stored for more than three months

2. State cannot enter into any contract with private corporations for sharing of Aadhar data

3. Aadhaar is mandatory for obtaining insurance products.

4. Aadhar is mandatory for getting benefits funded out of the Consolidate fund of India.

Which of the statements give above is/are correct?",a) 1 and 4 only,b) 2 and 4 only,c) 3 only,"d) 1,2 and 3 only",b,"Statements 2 and 4 are correct, while Statements 1 and 3 are incorrect.

Statement 4 is correct: In its Aadhaar judgment, the Supreme Court upheld Section 7 of the Aadhaar Act. This provision allows the Central or State Government to require Aadhaar authentication for receiving subsidies, benefits, or services that are financed from the Consolidated Fund of India. The Court held that the use of Aadhaar for such welfare schemes is constitutionally valid.

Statement 2 is also correct: The Supreme Court struck down Section 57 of the Aadhaar Act, which permitted private entities to use Aadhaar authentication for verifying individuals. The Court found that allowing private companies unrestricted access to Aadhaar-based verification could infringe upon the right to privacy and therefore declared the provision unconstitutional.

Statement 1 is incorrect: The Court ruled that Aadhaar authentication records and metadata could not be retained for the extended period originally permitted under the Act. Consequently, the provision allowing storage of such data for up to five years was invalidated, and the retention period was significantly restricted.

Statement 3 is incorrect: The Supreme Court held that Aadhaar cannot be made mandatory for services beyond the scope of Section 7 welfare schemes. Accordingly, requirements linking Aadhaar to services such as insurance and certain financial transactions were struck down. Following the judgment, regulatory authorities clarified that Aadhaar is not compulsory for obtaining insurance policies.

Therefore, only Statements 2 and 4 are correct.",Hard,Polity,Statutory bodies
97,2020,A constitutional government by definition is a _ _ _ _ .,a) government by legislature,b) popular government,c) Multi party government,d) Limited government,d,"A constitutional government is essentially a limited government, meaning that its powers are not absolute but are constrained by the provisions of the Constitution. The Constitution lays down the fundamental rules and principles that govern the exercise of state power.

A key feature of constitutional government is the limitation of governmental authority through constitutional safeguards. These safeguards include the separation of powers among the legislature, executive, and judiciary, ensuring that no single organ can concentrate excessive power in its hands.

The Constitution also protects Fundamental Rights and establishes mechanisms to prevent arbitrary exercise of authority. Through a system of checks and balances, each organ of government is accountable and operates within its prescribed constitutional limits.

Thus, constitutional government is characterized by the rule of law, limited powers, protection of rights, and institutional checks on authority, all of which help prevent the emergence of arbitrary or absolute government.",Easy,Polity,Salient Features of the Constitution
98,2020,"In the context of India, which one of the following is the characteristic appropriate for bureaucracy?",a) An agency widening the scope of parliamentary democracy,b) An agency for strengthening the structure of federalism,c) An agency for facilitating political stability and economic growth,d) An agency for the implementation of public policy,d,"In India, bureaucracy refers to the permanent administrative system that assists the government in carrying out its functions. It consists of civil servants and public officials who are responsible for the day to day administration of the country.

The bureaucracy plays a crucial role in implementing the laws, policies, and programmes formulated by the political executive and the legislature. Since civil servants remain in office irrespective of changes in government, they provide continuity, expertise, and stability in administration.

Thus, bureaucracy serves as the permanent executive, ensuring that government decisions are effectively translated into action and public services are delivered efficiently.",Easy,Polity,Union and State Executive
99,2020,A parliamentary system of government is one in which,a) All political parties in the parliament are represented in the government,b) The government is responsible to the parliament and can be remove by it,c) The government is elected by the people and can be removed by them,d) The government is chosen by the parliament but cannot be removed by it before completion of a fixed term,b,"A defining feature of the parliamentary system of government is that the executive remains collectively responsible to the legislature, particularly the lower house. The Council of Ministers continues in office only as long as it enjoys the confidence of the majority in the legislature.

If the government loses this confidence, the legislature can remove it through a No Confidence Motion. While this ensures accountability of the executive, it can also affect governmental stability, especially in situations where majority support is uncertain.

Option A is incorrect: A parliamentary system does not require representation of all political parties in the government. The executive is usually formed by the party or coalition that commands a majority in the legislature.

Option C is incorrect: Citizens do not directly vote to remove the government in a parliamentary democracy. Instead, the government is held accountable through the elected representatives in the legislature. Direct removal of a government by popular vote is a feature associated with certain forms of direct democracy, not parliamentary government.

Option D is incorrect: An executive that is not responsible to the legislature is contrary to the basic principle of the parliamentary form of government. Legislative accountability is the cornerstone of this system.

Therefore, the collective responsibility of the executive to the legislature makes Option B the correct answer.",Easy,Polity,Salient Features of the Constitution
100,2020,"Consider the following pairs:

1. Alma-Ata Declaration: Healthcare of the people

2. Hague Convention: Biological and chemical weapons

3. Talanoa Dialogue: Global climate change

4. Under2 Coalition: Child rights

Which of the pairs given above is/ are correctly matched?",a) 1 and 2 only,b) 4 only,c) 1 and 3 only,"d) 2, 3 and 4 only",c,"Option 1 and 3 are correctly matched, while Option 2 and 4 are not.

Option 3 is correctly matched: The Talanoa Dialogue was launched under the United Nations Framework Convention on Climate Change (UNFCCC) framework to facilitate constructive discussions on climate action. Inspired by a traditional Pacific storytelling approach, it encourages countries to share experiences, assess collective progress, and strengthen efforts towards the goals of the Paris Agreement.

Option  1 is also correctly matched: The Alma-Ata Declaration of 1978 introduced the concept of Primary Health Care (PHC) and emphasized the goal of achieving ""Health for All."" It called upon governments, health workers, and the international community to take coordinated action to improve global health outcomes.

Option  2 is not correctly matched: The Hague Adoption Convention focuses on safeguarding children involved in intercountry adoptions. Its purpose is to ensure that international adoptions take place in the best interests of the child and to prevent abuses such as trafficking or irregular adoption practices. Therefore, any pairing that associates it with an unrelated objective is incorrect.

Option  4 is not correctly matched: The Under2 Coalition is a global network of states, regions, provinces, and other subnational governments committed to reducing greenhouse gas emissions and achieving net-zero emissions by 2050 or earlier. It is not associated with the objective mentioned in the incorrect pairing.

Therefore, only Option  1 and 3 are correctly matched, making Option (3) the correct answer.",Hard,International Relations,Miscellaneous & Current Affairs
101,2019,Atal Innovation Mission is set up under the,a) Department of Science and Technology,b) Ministry of Labour and Employment,c) NITI Aayog,d) Ministry of Skill Development and Entrepreneurship,c,"Atal Innovation Mission (AIM) is the Government of India's flagship initiative aimed at fostering innovation, creativity, and entrepreneurship across the country. It was launched in 2016 under NITI Aayog to create an innovation-driven ecosystem and support startups, entrepreneurs, students, and innovators.

Major initiatives under AIM include:

Atal Tinkering Labs (ATLs): Established in schools to promote scientific temper, problem-solving skills, and innovation among students through hands-on learning.
Atal Incubation Centres (AICs): Created to support startups and entrepreneurs by providing infrastructure, mentoring, and business development assistance.
Atal Community Innovation Centres (ACICs): Focused on nurturing innovation and entrepreneurship in underserved, remote, and rural regions of India.
Atal New India Challenges (ANIC): Encourages the development of innovative products and services that address national priorities and societal challenges.
ARISE (ANIC-R&D and Innovation for Startups and MSMEs): Supports innovation by startups and MSMEs to solve sector-specific problems and enhance industry competitiveness.
Mentor of Change Programme: Connects students, innovators, and startups with professionals, industry experts, academicians, and institutions for guidance and mentorship.

Thus, since Atal Innovation Mission was established under NITI Aayog, Option (3) is the correct answer.",Easy,Polity,Non-constitutional bodies
102,2019,"Consider the following statements:

1. The 44th Amendment to the Constitution of India introduced an Article placing the election of the Prime Minister beyond judicial review.

2. The Supreme Court of India struck down the 99th Amendment to the Constitution of India as being violative of the independence of judiciary.

Which of the statements given above is/are correct?",a) 1 only,b) 2 only,c) Both 1 and 2,d) Neither 1 nor 2,b,"Statement 2 is correct: The 99th Constitutional Amendment Act, 2014, which established the National Judicial Appointments Commission (NJAC) for the appointment of judges to the Supreme Court and High Courts, was struck down by the Supreme Court in 2015 in the Supreme Court Advocates-on-Record Association v. Union of India (2015) case. The Court held that the amendment violated the independence of the judiciary, which forms part of the Constitution's Basic Structure, and therefore declared it unconstitutional.

Statement 1 is incorrect: The 44th Constitutional Amendment Act, 1978 did not place certain elections beyond judicial scrutiny. In fact, it reversed a provision introduced by the 39th Constitutional Amendment Act, 1975, which had attempted to exclude the elections of the President, Vice President, Prime Minister, and Speaker of the Lok Sabha from judicial review. The 44th Amendment restored the jurisdiction of courts to examine such election disputes, thereby strengthening judicial review.

Therefore, Statement 2 is correct, while Statement 1 is incorrect.",Medium,Polity,Judiciary
103,2019,"Consider the following statements:

1. The motion to impeach a Judge of the Supreme Court of India cannot be rejected by the Speaker of the Lok Sabha as per the Judges (Inquiry) Act 1968.

2. The Constitution of India defines and gives details or what constitutes ‘incapacity and proved misbehaviour’ of the Judges of the Supreme Court of India.

3. The details of the process of impeachment of the Judges of the Supreme Court of India are given in 4 the Judges (Inquiry) Act, 1968.

4. If the motion for the impeachment of a Judge is taken up for voting, the law requires the motion to be backed by each House of the Parliament and supported by a majority of total membership of that House and by not less than two-thirds of total members of that House present and voting.

Which of the statements given above is/are correct?",a) 1 and 2,b) 3 only,c) 3 and 4 only,"d) 1, 3 and 4",c,"Statements 3 and 4 are correct, while Statements 1 and 2 are incorrect.

Statement 4 is correct: Under Article 124(4), a judge of the Supreme Court (and by virtue of Articles 217 and 218, a High Court judge) can be removed only after an address by Parliament supported by:

A majority of the total membership of the House, and
A majority of not less than two-thirds of the members present and voting.

This special majority is required in each House of Parliament.

Statement 3 is correct: The constitutional framework governing the removal of judges is contained in Articles 124(4), 124(5), 217, and 218. The detailed procedure for investigation and removal is prescribed under the Judges (Inquiry) Act, 1968.

Statement 1 is incorrect: The Judges (Inquiry) Act, 1968 empowers the Speaker of the Lok Sabha or the Chairman of the Rajya Sabha to either admit or refuse a motion seeking the removal of a judge. If the motion is not in proper form or lacks merit, it may be rejected at the threshold stage itself. Therefore, admission of such a motion is not automatic.

Statement 2 is incorrect: The Constitution does not define the expressions ""proved misbehaviour"" or ""incapacity"", which are the grounds for removal of judges under Article 124(4). Their meaning has been interpreted through parliamentary practice, judicial decisions, and constitutional conventions.

Therefore, only Statements 3 and 4 are correct.",Medium,Polity,Judiciary
104,2019,The Ninth Schedule was introduced in the Constitution of India during the prime ministership of,a) Jawaharlal Nehru,b) Lal Bahadur Shastri,c) Indira Gandhi,d) Morarji Desai,a,"The Ninth Schedule was introduced by the First Constitutional Amendment Act, 1951.

The First Constitutional Amendment Act, 1951, enacted during the tenure of Jawaharlal Nehru, inserted Articles 31A and 31B and created the Ninth Schedule of the Constitution.

The primary objective was to protect land reform and agrarian legislation from being challenged in courts on the ground that they violated Fundamental Rights, particularly the Right to Property (then guaranteed under Articles 19(1)(f) and 31).

Article 31B provided that laws placed in the Ninth Schedule would remain valid even if they were inconsistent with Fundamental Rights. This was intended to facilitate the government's socio-economic reform agenda, especially the abolition of the zamindari system and redistribution of land.

However, judicial review was not completely excluded forever. In the landmark I.R. Coelho v. State of Tamil Nadu case (2007), the Supreme Court held that laws inserted into the Ninth Schedule after 24 April 1973 (the date of the Kesavananda Bharati v. State of Kerala judgment) are subject to judicial review if they violate the Basic Structure of the Constitution.

Therefore, the Ninth Schedule was created by the First Constitutional Amendment Act, 1951, primarily to protect land reform and other socio-economic legislation from constitutional challenges.",Easy,Polity,Schedules
105,2019,"Consider the following statements:

1. The Parliament (Prevention of Disqualification) Act, 1959 exempts several posts from disqualification on the grounds of ‘Office of Profit’.

2. The above-mentioned Act was amended five times.

3. The term ‘Office of Profit’ is well-defined in the Constitution of India.

Which of the statements given above is/are correct?",a) 1 and 2 only,b) 3 only,c) 2 and 3 only,"d) 1, 2 and 3",a,"Statements 1 and 2 are correct, while Statement 3 is incorrect.

Statement 1 is correct: The Parliament (Prevention of Disqualification) Act, 1959 was enacted to identify certain offices under the government that would not disqualify their holders from being Members of Parliament. The Act exempts several categories of posts from the disqualification provisions contained in Article 102(1)(a) relating to the holding of an office of profit.

Statement 2 is correct: Since its enactment, the Act has been amended multiple times to expand the list of exempted offices. Important amendments were made in 1960, 1993, 1999, 2000, and 2006, reflecting changing administrative and political requirements.

Statement 3 is incorrect: Although the expression ""Office of Profit"" appears in Article 102 (for Members of Parliament) and Article 191 (for Members of State Legislatures), the Constitution does not define the term. Similarly, the Representation of the People Act, 1951 does not provide a comprehensive definition. The meaning and tests for determining an office of profit have been developed through judicial decisions, with courts considering factors such as appointment authority, remuneration, removal power, and the degree of government control over the office.

Therefore, Statements 1 and 2 are correct, while Statement 3 is incorrect.",Medium,Polity,Parliament and State Legislatures
106,2019,Under which Schedule of the Constitution of India can the transfer of tribal land to private parties for mining be declared null and void?,a) Third Schedule,b) Fifth Schedule,c) Ninth Schedule,d) Twelfth Schedule,b,"The Fifth Schedule of the Constitution provides a special framework for the administration and control of Scheduled Areas and Scheduled Tribes in states other than Assam, Meghalaya, Tripura, and Mizoram. Its primary objective is to protect tribal communities from exploitation and preserve their land, culture, and socio-economic interests.

A significant feature of the Fifth Schedule is the special role of the Governor. The Governor is empowered to make regulations for the peace and good governance of Scheduled Areas after consulting the Tribes Advisory Council (TAC) wherever applicable.

These regulations may:

Prohibit or restrict the transfer of land from tribal persons to non-tribals.
Regulate the allotment of land to members of Scheduled Tribes.
Modify or suspend the application of certain state laws in Scheduled Areas if their operation is detrimental to tribal interests.

Thus, the Fifth Schedule serves as a constitutional safeguard to protect tribal land and resources from alienation and to ensure that development in Scheduled Areas does not undermine the rights and welfare of tribal communities.",Medium,Polity,Schedules
107,2019,"With reference to the Constitution of India, prohibitions or limitations or provisions contained in ordinary laws cannot act as prohibitions or limitations on the constitutional powers under Article 142. It could mean which one of the following?",a) The decisions taken by the. Election Commission of India while discharging its duties cannot be challenged in any court of law.,b) The Supreme Court of India is not constrained in the exercise of its powers by the laws made by Parliament.,"c) In the event of grave financial crisis in the country, the President of India can declare Financial Emergency without the counsel from the Cabinet.",d) State Legislatures cannot make laws on certain matters without the concurrence of Union Legislature.,b,"Article 142 empowers the Supreme Court to pass any decree or order necessary for doing ""complete justice"" in any case or matter pending before it. This is an extraordinary constitutional power that enables the Court to craft remedies where ordinary statutory provisions may be inadequate.

The Supreme Court has clarified in cases such as Union Carbide Corporation v. Union of India that its power under Article 142 is broad and is not ordinarily constrained by statutory limitations. However, this power cannot be exercised in a manner that violates or overrides an express provision of the Constitution.

Why the other options are incorrect:

Option A: Article 329 restricts judicial interference in certain electoral matters, particularly during the election process. However, it does not grant absolute immunity to the Election Commission of India from judicial review, nor is it related to the scope of Article 142.

Option C: Under Article 74, the President acts on the aid and advice of the Council of Ministers. Therefore, even in the case of a Financial Emergency (Article 360), the President cannot act independently of ministerial advice.

Option D: This option relates to the constitutional distribution of legislative powers between the Union and the States under Articles 245–254 and the Seventh Schedule. It concerns federal legislative relations and has no connection with the Supreme Court's power under Article 142.

Therefore, the statement relating to the Supreme Court's power to do ""complete justice"" under Article 142 is the correct answer.",Medium,Polity,Judiciary
108,2019,"With reference to the Legislative Assembly of a State in India, consider the following statements:

1. The Governor makes a customary address to Members of the House at the commencement of the first session of the year.

2. When a State Legislature does not have a rule on a particular matter, it follows the Lok Sabha rule on that matter.

Which of the statements given above is/are correct?",a) 1 only,b) 2 only,c) Both 1 and 2,d) Neither 1 nor 2,c,"Statement 1 is correct: Under Article 176(1) of the Constitution, the Governor is required to address the State Legislature at:

The commencement of the first session after each general election to the Legislative Assembly; and
The commencement of the first session of every year.

This special address outlines the policies, programmes, and legislative priorities of the state government. It is the state-level counterpart of the President's special address to Parliament under Article 87.

Statement 2 is also correct: State Legislatures frame their own Rules of Procedure under Article 208. However, where no specific rule exists on a particular matter, a long-established parliamentary convention allows State Legislatures to follow the practice and procedure of the Lok Sabha. This convention has its roots in the parliamentary traditions inherited from the colonial period and helps ensure procedural consistency.

Therefore, both Statement 1 and Statement 2 are correct.",Hard,Polity,Parliament and State Legislatures
109,2018,Right to Privacy is protected as an intrinsic part of Right to Life and Personal Liberty. Which of the following in the Constitution of India correctly and appropriately imply the above statement?,a) Article 14 and the provisions under the 42nd Amendment to the Constitution.,b) Article 17 and the Directive Principles of State Policy in Part IV.,c) Article 21 and the freedoms guaranteed in Part III.,d) Article 24 and the provisions under the 44th Amendment to the Constitution.,c,"The Right to Privacy is recognized as an intrinsic part of the Right to Life and Personal Liberty under Article 21 of the Constitution. This position was firmly established by the Supreme Court in the landmark Justice K.S. Puttaswamy (Retd.) v. Union of India judgment (2017), where a nine-judge constitutional bench unanimously held that privacy is a fundamental right protected under Part III of the Constitution.

The Court observed that privacy is closely linked to human dignity, autonomy, and personal liberty, making it an essential component of Article 21. It also drew support from other Fundamental Rights, particularly those guaranteed under Article 19, thereby locating privacy within the broader framework of Part III.

Why the other options are incorrect:

Article 14 guarantees equality before the law and equal protection of laws. While privacy may sometimes intersect with equality concerns, Article 14 is not the primary constitutional source of the right to privacy.
Article 17 abolishes untouchability and has no direct connection with privacy rights.
Article 24 prohibits the employment of children below a specified age in hazardous occupations and is unrelated to privacy.

Therefore, the Right to Privacy is most closely associated with Article 21 and forms part of the Fundamental Rights contained in Part III of the Constitution, making Option (C) the correct answer.",Easy,Polity,Fundamental Rights
110,2018,"Regarding Money Bill, which of the following statements is not correct?","a) A bill shall be deemed to be a Money Bill if it contains only provisions relating to imposition, abolition, remission, alteration, or regulation of any tax.",b) A Money Bill has provisions for the custody of the Consolidated Fund of India or the Contingency Fund of India.,c) A Money Bill is concerned with the appropriation of moneys out of the Contingency Fund of India.,d) A Money Bill deals with the regulation of borrowing of money or giving of any guarantee by the Government of India.,c,"Option (C) is incorrect.

Under Article 110(1), a Bill is classified as a Money Bill only if it contains provisions dealing exclusively with one or more of the matters specified in that Article.

Option (A) is correct: A Bill dealing with the imposition, abolition, remission, alteration, or regulation of any tax falls within Article 110(1)(a) and is therefore a Money Bill.

Option (B) is correct: Provisions relating to the custody of the Consolidated Fund of India or the Contingency Fund of India, as well as payments into or withdrawals from such funds, are covered under Article 110(1)(c).

Option (D) is correct: Matters concerning the borrowing of money by the Government of India, the giving of guarantees, or the regulation of financial obligations undertaken by the Government are included under Article 110(1)(d) and thus fall within the scope of a Money Bill.

Option (C) is incorrect: The statement is inaccurate because a Money Bill is concerned with the custody of the Contingency Fund and related financial matters, not specifically with the appropriation of money out of the Contingency Fund of India. The Contingency Fund is placed at the disposal of the President to meet unforeseen expenditure under Article 267(1). Expenditure from this fund is subsequently recouped through parliamentary approval, but the appropriation process itself is not what defines a Money Bill under Article 110.

Therefore, Options (A), (B), and (D) are correct, while Option (C) is incorrect.",Medium,Polity,Parliament and State Legislatures
111,2018,"With reference to the election of the President of India, consider the following statements:

1. The value of the vote of each MLA varies from State to State.

2. The value of the vote of MPs of the Lok Sabha is more than the value of the vote of MPs of the Rajya Sabha.

Which of the statements given above is/are correct?",a) 1 only,b) 2 only,c) Both 1 and 2,d) Neither 1 nor 2,a,"Statement 1 is correct.
Under Article 55(2), the value of the vote of an elected MLA is calculated based on the population of the State and the number of elected members of the Legislative Assembly:

Value of an MLA’s vote=
Total elected MLAs×1000
Population of the State
	​
(Using the 1971 Census population, as currently mandated.)

Therefore, the value of votes of MLAs varies from State to State depending on population and assembly strength.

Statement 2 is incorrect.
The value of the vote of an elected Member of Parliament is uniform for all MPs, whether from the Lok Sabha or the Rajya Sabha.

Under Article 55(2):

Value of each MP’s vote=
Total elected MPs of both Houses
Total value of votes of all elected MLAs
	​
Since this calculation produces a single figure applicable to every elected MP, all elected MPs have the same vote value in a Presidential election.

Electoral College for the President

As per Article 54, the Electoral College consists of:

Elected members of the Lok Sabha
Elected members of the Rajya Sabha
Elected members of the Legislative Assemblies of States
Elected members of the Legislative Assemblies of Delhi and Puducherry

It does not include:

Nominated MPs
Nominated MLAs
Members of Legislative Councils (MLCs)

Therefore, Statement 1 is correct and Statement 2 is incorrect.
Answer: Option (1) – Statement 1 only.",Medium,Polity,Union and State Executive
112,2018,"Consider the following statements:

1. The Speaker of the Legislative Assembly shall vacate his/her office if he/she ceases to be a member of the Assembly.

2. Whenever the Legislative Assembly is dissolved, the Speaker shall vacate his/her office immediately.

Which of the statements given above is/are correct?",a) 1 only,b) 2 only,c) Both 1 and 2,d) Neither 1 nor 2,a,"Statement 1 is correct.

Under Article 179 of the Constitution, the Speaker of a State Legislative Assembly must vacate office if they cease to be a member of the Assembly. Since membership of the House is a basic eligibility condition for holding the office of Speaker, loss of membership automatically triggers cessation of office.

Statement 2 is incorrect.

It is not correct that the Speaker vacates office immediately upon dissolution of the Assembly. In fact, the Speaker continues in office even after dissolution of the Legislative Assembly, and holds the position until the newly elected Assembly meets and elects a new Speaker. This ensures continuity in constitutional and administrative functions of the House.

Key constitutional position:
Speaker → continues during dissolution (caretaker role)
Vacancy arises only when:
ceases to be MLA, or
resigns, or
new Speaker is elected after reconstitution

Therefore, only Statement 1 is correct.",Medium,Polity,Parliament and State Legislatures
113,2018,Which one of the following reflects the most appropriate relationship between law and liberty?,"a) If there are more laws, there is less liberty.","b) If there are no laws, there is no liberty.","c) If there is liberty, laws have to be made by the people.","d) If laws are changed too often, liberty is in danger.",b,"The statement “If there are no laws, there is no liberty” is the most appropriate.

Liberty is not the absence of rules; it is the regulated freedom of individuals within a legal framework. In the absence of law, there is no enforceable protection of rights, which leads to disorder where the strong can suppress the weak.

In constitutional theory, law and liberty are not opposing concepts but interdependent:

Law creates the conditions under which liberty can exist.
It defines boundaries so that one person’s freedom does not violate another’s rights.
It enforces protections through institutions like courts and the state.

Without law, society moves toward an anarchic condition, where liberty loses its practical meaning because it cannot be secured or guaranteed.",Medium,Polity,Salient Features of the Constitution
114,2018,"Consider the following statements:

1. No criminal proceedings shall be instituted against the Governor of a State in any court during his term of office.

2. The emoluments and allowances of the Governor of a State shall not be diminished during his term of office.

Which of the statements given above is/are correct?",a) 1 only,b) 2 only,c) Both 1 and 2,d) Neither 1 nor 2,c,"Statement 1 is correct: Under Article 361(2) of the Constitution, the Governor enjoys immunity from criminal proceedings during their term of office. No court can initiate or continue criminal proceedings against the Governor while in office for acts done in the exercise of official duties. However, civil proceedings relating to personal acts can be instituted, but only after giving two months’ prior notice.

Statement 2 is correct: Under Article 158(3), the salary and allowances of the Governor are determined by Parliament by law and cannot be varied to their disadvantage during the term of office. This provision ensures financial security and protects the independence of the office.

Conclusion:

Since both constitutional provisions are correctly stated, Option (c) – Both 1 and 2 is correct.",Easy,Polity,Union and State Executive
115,2018,"Which of the following are regarded as the main features of the “Rule of Law”?

1. Limitation of powers

2. Equality before law

3. People’s responsibility to the Government

4. Liberty and civil rights

Select the correct answer using the code given below:",a) 1 and 3 only,b) 2 and 4 only,"c) 1, 2 and 4 only","d) 1, 2, 3 and 4",c,"Option (C) 1, 2 and 4 only is correct.

The Rule of Law is a foundational constitutional principle ensuring that governance operates through law, not arbitrary discretion.

Evaluation of statements:

1. Limitation of powers - Correct
Rule of Law ensures that all authority (including the State) is constrained by law. No organ of government can act arbitrarily outside legal limits.

2. Equality before law - Correct
A core component of Rule of Law is Article 14 (Equality before Law and Equal Protection of Laws), ensuring uniform application of law irrespective of status.

3. People's responsibility to the Government - Incorrect
Rule of Law primarily enforces state accountability to citizens, not vice versa in the sense stated. It does not define a general doctrine of citizens being “responsible to government” as a core principle.

4. Liberty and civil rights - Correct
Rule of Law protects fundamental rights, civil liberties, and due process-type safeguards by preventing arbitrary state action.

Conclusion:

Statements 1, 2, and 4 are correct, while 3 is incorrect.

Answer: (C) 1, 2 and 4 only.",Medium,Polity,Salient Features of the Constitution
116,2018,"If the President of India exercises his power as provided under Article 356 of the Constitution in respect of a particular State, then",a) the Assembly of the State is automatically dissolved.,b) the powers of the Legislature of that State shall be exercisable by or under the authority of the Parliament.,c) Article 19 is suspended in that State.,d) the President can make laws relating to that State.,b,"Correct answer: Option B only.

Analysis of statements under Article 356 (President’s Rule):

Option A - Incorrect
The State Legislative Assembly is not automatically dissolved when President’s Rule is imposed. It may either be:

kept in suspended animation, or
dissolved later by a separate decision/proclamation.

So the statement is not universally valid.

Option B - Correct
Under Article 356, when President’s Rule is imposed:

The powers of the State Legislature are exercised by Parliament
Parliament is empowered to make laws for the State

This is constitutionally valid and accurately stated.

Option C - Incorrect
Fundamental Rights under Article 19 are not suspended during President’s Rule.
Suspension of Article 19 happens only during National Emergency under Article 352, not under Article 356.

Option D - Incorrect
The President does not directly legislate for the State under Article 356. Instead:

Parliament performs legislative functions for the State

So the statement is constitutionally inaccurate.

Final Answer:

Only Option B is correct.",Easy,Polity,Emergency provisions
117,2018,"With reference to the Parliament of India, which of the following Parliamentary Committees scrutinizes and reports to the House whether the powers to make regulations, rules, sub-rules, by-laws, etc. conferred by the Constitution or delegated by the Parliament are being properly exercised by the Executive within the scope of such delegation?",a) Committee on Government Assurances,b) Committee on Subordinate Legislation,c) Rules Committee,d) Business Advisory Committee,b,"Answer: Only the Committee on Subordinate Legislation is correctly matched
Why:

(B) Committee on Subordinate Legislation - Correct
This committee specifically examines:

Whether powers delegated by Parliament to the executive are being properly exercised
Whether rules/regulations are within the scope of the parent legislation
Excessive or improper use of delegated legislative authority

This is the only parliamentary committee among the four listed that directly scrutinizes delegated legislation.

Why others are incorrect:

(A) Committee on Government Assurances - Incorrect

Tracks implementation of assurances given by ministers in Parliament
Not related to rule-making or delegated powers

(C) Rules Committee - Incorrect

Deals with procedural rules of Parliament itself
Not executive rule-making

(D) Business Advisory Committee - Incorrect

Allocates time for House business
No role in legislative scrutiny
Final conclusion:

Only Committee on Subordinate Legislation directly deals with scrutiny of delegated executive powers.",Medium,Polity,Parliament and State Legislatures
118,2018,"Consider the following statements:

1. As per the Right to Education (RTE) Act, to be eligible for appointment as a teacher in a State, a person would be required to possess the minimum qualification laid down by the concerned State Council of Teacher Education.

2. As per the RTE Act, for teaching primary classes, a candidate is required to pass a Teacher Eligibility Test conducted in a accordance with the National Council of Teacher Education guidelines.

3. In India, more than 90% of teacher education institutions are directly under the State Governments.

Which of the statements given above is/are correct?",a) 1 and 2,b) 2 only,c) 1 and 3,d) 3 only,b,"Statement-wise analysis:

Statement 1 - Incorrect
Under the Right of Children to Free and Compulsory Education Act, 2009 (RTE Act):

Minimum teacher qualifications are prescribed by the National Council for Teacher Education (NCTE)
State bodies do not independently set the baseline qualification standards.

Statement 2 - Correct
The RTE framework requires teachers to:

Qualify the Teacher Eligibility Test (TET) for appointment in primary and upper primary schools
TET standards and guidelines are framed in line with NCTE norms

So the statement is substantively correct.

Statement 3 - Incorrect
AISHE data does not support the given proportion as stated:

The distribution of teacher education institutions varies, but the claim that ~67% are private in that specific form is not accurate as a generalized RTE-related fact statement
Hence, it is not a correct assertion for UPSC-style evaluation.",Hard,Polity,Fundamental Rights
